uuid,observed_on,time_observed_at,url,image_url,description,place_guess,latitude,longitude,place_town_name,place_county_name,place_state_name,place_country_name,special_type_of_feeding,partner_observation_url,partner_ids,partner_id_split,predator_id,predator_scientific_name,predator_common_name,predator_iconic_taxon_name,predator_taxon_id,predator_taxon_species_name,predator_taxon_kingdom_name,predator_quality_grade,prey_id,prey_scientific_name,prey_common_name,prey_iconic_taxon_name,prey_taxon_id,prey_taxon_species_name,prey_taxon_kingdom_name,prey_quality_grade,Verified?
18f6d5fe-0515-4a3d-93d2-5f71f4ddb657,12/13/2020,2020-12-13 10:48:00 UTC,https://www.inaturalist.org/observations/66521434,https://inaturalist-open-data.s3.amazonaws.com/photos/107250423/medium.jpeg,For what the bird was about  to feed chicks,Garden Route Botanical Garden,-33.94697437,22.46451483,,George Greater Municipality and marine,Western Cape,South Africa,,https://www.inaturalist.org/observations/66521434,66521434,66521434,66521434,Tetradactylus seps,Short-legged Seps,Reptilia,34724,Tetradactylus seps,Animalia,research,66521434,Tetradactylus seps,Short-legged Seps,Reptilia,34724,Tetradactylus seps,Animalia,research,
c70337eb-3db2-46b0-887b-2f362c62f43c,3/9/2021,2021-03-09 07:09:00 UTC,https://www.inaturalist.org/observations/70876023,https://inaturalist-open-data.s3.amazonaws.com/photos/115301292/medium.jpeg,,Garden Route Botanical Garden,-33.94210167,22.462575,,George Greater Municipality and marine,Western Cape,South Africa,,https://www.inaturalist.org/observations/70876023,70876023,70876023,70876023,Dicrurus adsimilis adsimilis,Coastal Fork-tailed Drongo,Aves,566787,Dicrurus adsimilis,Animalia,research,70876023,Dicrurus adsimilis adsimilis,Coastal Fork-tailed Drongo,Aves,566787,Dicrurus adsimilis,Animalia,research,
d633897a-cf39-44c0-a23c-041ab804755e,5/13/2021,2021-05-13 12:05:13 UTC,https://www.inaturalist.org/observations/78598722,https://static.inaturalist.org/photos/128649821/medium.jpeg,,"16440 Sireuil, France",45.61603198,0.005088486,,Charente,Poitou-Charentes,France,"No, none of these",https://www.inaturalist.org/observations/197527384,197527384,197527384,78598722,Synema globosum,Napoleon Spider,Arachnida,245656,Synema globosum,Animalia,research,197527384,Synema globosum,Napoleon Spider,Arachnida,245656,Synema globosum,Animalia,research,
ea5537cd-12a2-457d-ba71-14d207e68e38,8/16/2021,2021-08-16 21:24:16 UTC,https://www.inaturalist.org/observations/91588552,https://inaturalist-open-data.s3.amazonaws.com/photos/151524308/medium.jpg,"https://vimeo.com/588572568
Eating what seemed to be the eggs of another ladybug","Farrington Rd, Durham, NC, US",35.90863833,-78.98042167,,Durham,North Carolina,United States,"No, none of these",https://www.inaturalist.org/observations/91588952,91588952,91588952,91588552,Harmonia axyridis,Asian Lady Beetle,Insecta,48484,Harmonia axyridis,Animalia,research,91588952,Harmonia axyridis,Asian Lady Beetle,Insecta,48484,Harmonia axyridis,Animalia,research,
52bd6241-3f30-4f92-ace1-656c4e95ebfa,9/19/2022,,https://www.inaturalist.org/observations/137293405,https://inaturalist-open-data.s3.amazonaws.com/photos/234454061/medium.jpeg,Camera trap capture of bobcat carrying dead eastern gray squirrel,"Massachusetts, US",42.31465244,-71.67952536,,Worcester,Massachusetts,United States,,https://www.inaturalist.org/observations/137288684,137288684,137288684,137293405,Lynx rufus,Bobcat,Mammalia,41976,Lynx rufus,Animalia,research,137288684,Lynx rufus,Bobcat,Mammalia,41976,Lynx rufus,Animalia,research,
6f46d2fc-bce0-4285-9166-dab67f3b525b,6/13/2022,2022-06-14 01:21:00 UTC,https://www.inaturalist.org/observations/137390148,https://inaturalist-open-data.s3.amazonaws.com/photos/234642515/medium.jpg,This Red-shouldered Bug adult was cannibalizing a dead nymph that had been stepped on. Another walked by.,"North Redlands, Redlands, CA, USA",34.06327945,-117.162013,,San Bernardino,California,United States,,https://www.inaturalist.org/observations/137390149,137390149,137390149,137390148,Jadera haematoloma,Red-shouldered Bug,Insecta,127669,Jadera haematoloma,Animalia,research,137390149,Jadera haematoloma,Red-shouldered Bug,Insecta,127669,Jadera haematoloma,Animalia,research,
fdcec7e5-3e26-440a-917b-f063f844686c,6/13/2022,2022-06-14 01:21:00 UTC,https://www.inaturalist.org/observations/137390154,https://inaturalist-open-data.s3.amazonaws.com/photos/234642685/medium.jpg,"This Red-shouldered Bug nymph was cannibalizing a dead, stepped on adult.

Seasonally abundant, booming at the time. ","North Redlands, Redlands, CA, USA",34.06328199,-117.1620201,,San Bernardino,California,United States,,https://www.inaturalist.org/observations/137390152,137390152,137390152,137390154,Jadera haematoloma,Red-shouldered Bug,Insecta,127669,Jadera haematoloma,Animalia,research,137390152,Jadera haematoloma,Red-shouldered Bug,Insecta,127669,Jadera haematoloma,Animalia,research,
a45443ba-606c-4ae5-816a-c41917337cdd,10/8/2022,2022-10-08 14:42:00 UTC,https://www.inaturalist.org/observations/138033099,https://inaturalist-open-data.s3.amazonaws.com/photos/235839608/medium.jpeg,I would not mess with this anole...,"Miami-Dade County, FL, USA",25.38231789,-80.60745108,,Miami-Dade,Florida,United States,"No, none of these",https://www.inaturalist.org/observations/185235593,185235593,185235593,138033099,Anolis sagrei,Brown Anole,Reptilia,116461,Anolis sagrei,Animalia,research,185235593,Anolis sagrei,Brown Anole,Reptilia,116461,Anolis sagrei,Animalia,research,
3735a693-9d4c-4bdb-b6ff-815c7d461f0d,9/27/2019,2019-09-28 03:16:00 UTC,https://www.inaturalist.org/observations/150648404,https://inaturalist-open-data.s3.amazonaws.com/photos/259808130/medium.jpeg,"This Lady Beetle larva was cannibalizing Lady Beetle eggs on the trunk of a Holm Oak.

I believe they are *Harmonia axyridis*, since that is only species I've seen on campus. There were multiple clusters of eggs on this tree.","North Redlands, Redlands, CA, USA",34.06404435,-117.1624285,,San Bernardino,California,United States,,https://www.inaturalist.org/observations/150648403,150648403,150648403,150648404,Harmonia axyridis,Asian Lady Beetle,Insecta,48484,Harmonia axyridis,Animalia,research,150648403,Harmonia axyridis,Asian Lady Beetle,Insecta,48484,Harmonia axyridis,Animalia,research,
68445a25-e0bf-4e4a-b64c-13668de2232e,8/13/2023,2023-08-13 19:24:00 UTC,https://www.inaturalist.org/observations/178284857,https://inaturalist-open-data.s3.amazonaws.com/photos/310181920/medium.jpeg,,"Coal Creek Canyon, CO 80403, USA",39.85873357,-105.3859186,,Jefferson,Colorado,United States,Pollination,https://www.inaturalist.org/observations/178284857,178284857,178284857,178284857,Hyles lineata,White-lined Sphinx,Insecta,49348,Hyles lineata,Animalia,research,178284857,Hyles lineata,White-lined Sphinx,Insecta,49348,Hyles lineata,Animalia,research,
a7768bc4-ec45-41da-b83b-183781e981a8,8/29/2023,2023-08-29 16:34:00 UTC,https://www.inaturalist.org/observations/180814877,https://inaturalist-open-data.s3.amazonaws.com/photos/315027611/medium.jpeg,,"Mandeville, LA, USA",30.39264899,-90.1203466,,St. Tammany,Louisiana,United States,"No, none of these",https://www.inaturalist.org/observations/180814880,180814880,180814880,180814877,Erythemis simplicicollis,Eastern Pondhawk,Insecta,61495,Erythemis simplicicollis,Animalia,research,180814880,Erythemis simplicicollis,Eastern Pondhawk,Insecta,61495,Erythemis simplicicollis,Animalia,research,
158f0a81-a0a4-48fe-b499-f7e8f3211110,7/25/2022,2022-07-25 07:08:17 UTC,https://www.inaturalist.org/observations/187342840,https://static.inaturalist.org/photos/327604523/medium.jpeg,Cannibalism,"Camerota SA, Italia",39.99767414,15.42492203,,Salerno,Campania,Italy,"No, none of these",https://www.inaturalist.org/observations/187342840,187342840,187342840,187342840,Podarcis siculus,Italian Wall Lizard,Reptilia,337045,Podarcis siculus,Animalia,research,187342840,Podarcis siculus,Italian Wall Lizard,Reptilia,337045,Podarcis siculus,Animalia,research,
00548437-8d04-462a-b6ee-d0e7fc84cafd,10/29/2023,2023-10-29 12:42:00 UTC,https://www.inaturalist.org/observations/189363077,https://static.inaturalist.org/photos/331701200/medium.jpg,,"Gardendale, AL, USA",33.65075833,-86.822525,,Jefferson,Alabama,United States,"No, none of these",https://www.inaturalist.org/observations/189363077,189363077,189363077,189363077,Kukulcania hibernalis,Southern House Spider,Arachnida,122357,Kukulcania hibernalis,Animalia,research,189363077,Kukulcania hibernalis,Southern House Spider,Arachnida,122357,Kukulcania hibernalis,Animalia,research,
3954989d-2013-4e41-b6d5-71a06d68409c,12/16/2023,2023-12-17 03:08:34 UTC,https://www.inaturalist.org/observations/194238752,https://inaturalist-open-data.s3.amazonaws.com/photos/341375425/medium.jpeg,Cannibalism! Finally caught them in the act! This one actually dragged the dead one to a different spot.,"New York, US",40.9722582,-73.83529596,,Westchester,New York,United States,"No, none of these",https://www.inaturalist.org/observations/196790659,196790659,196790659,194238752,Tachycines asynamorus,Greenhouse Camel Cricket,Insecta,767707,Tachycines asynamorus,Animalia,research,196790659,Tachycines asynamorus,Greenhouse Camel Cricket,Insecta,767707,Tachycines asynamorus,Animalia,research,
8e715e90-9395-43d7-b3fb-960de0bbea76,2/25/2024,2024-02-25 21:55:30 UTC,https://www.inaturalist.org/observations/200484106,https://static.inaturalist.org/photos/353729128/medium.jpeg,Eating a crab ,"Port Moody, BC, Canada",49.28328357,-122.8498235,,Greater Vancouver,British Columbia,Canada,"No, none of these",https://www.inaturalist.ca/observations/200484106,200484106,200484106,200484106,Bucephala clangula,Common Goldeneye,Aves,6990,Bucephala clangula,Animalia,research,200484106,Bucephala clangula,Common Goldeneye,Aves,6990,Bucephala clangula,Animalia,research,
0134f7d9-bd96-4629-bab3-56f424b1ba63,5/27/2024,2024-05-27 14:57:00 UTC,https://www.inaturalist.org/observations/218843143,https://inaturalist-open-data.s3.amazonaws.com/photos/387299059/medium.jpeg,Larve frisst Puppe - larva eats pupa,"22 Norderstedt, Deutschland",53.68734642,10.00767213,,Hamburg,Schleswig-Holstein,Germany,"No, none of these",https://www.inaturalist.org/observations/218843142,218843142,218843142,218843143,Harmonia axyridis,Asian Lady Beetle,Insecta,48484,Harmonia axyridis,Animalia,research,218843142,Harmonia axyridis,Asian Lady Beetle,Insecta,48484,Harmonia axyridis,Animalia,research,
25cb58c1-3f05-4aa5-816c-4c46dba0a8b3,6/8/2024,2024-06-08 15:45:00 UTC,https://www.inaturalist.org/observations/222344073,https://inaturalist-open-data.s3.amazonaws.com/photos/393842005/medium.jpeg,,"Cedar Crest, Lakewood, CO 80215, USA",39.73041677,-105.1121371,,Jefferson,Colorado,United States,Pollination,https://www.inaturalist.org/observations/222344073,222344073,222344073,222344073,Toxomerus marginatus,Margined Calligrapher,Insecta,126889,Toxomerus marginatus,Animalia,research,222344073,Toxomerus marginatus,Margined Calligrapher,Insecta,126889,Toxomerus marginatus,Animalia,research,
d6490bee-c4ee-4524-b500-cf73b4368001,7/17/2024,2024-07-17 16:51:00 UTC,https://www.inaturalist.org/observations/229978826,https://static.inaturalist.org/photos/408291078/medium.jpg,,"Redmont Park, Birmingham, AL, USA",33.48773378,-86.77977438,,Jefferson,Alabama,United States,"No, none of these",https://www.inaturalist.org/observations/229978826,229978826,229978826,229978826,Euthyrhynchus floridanus,Florida Predatory Stink Bug,Insecta,119873,Euthyrhynchus floridanus,Animalia,research,229978826,Euthyrhynchus floridanus,Florida Predatory Stink Bug,Insecta,119873,Euthyrhynchus floridanus,Animalia,research,
2d1edfdf-4f92-495a-8de7-e447e0b47d90,9/8/2024,2024-09-08 22:14:34 UTC,https://www.inaturalist.org/observations/240907528,https://static.inaturalist.org/photos/429278192/medium.jpeg,,"Old River Trail, Powhatan, VA, US",37.65896667,-77.92444667,,Powhatan,Virginia,United States,"No, none of these",https://www.inaturalist.org/observations/240907528,240907528,240907528,240907528,Misumenoides formosipes,White-banded Crab Spider,Arachnida,62035,Misumenoides formosipes,Animalia,research,240907528,Misumenoides formosipes,White-banded Crab Spider,Arachnida,62035,Misumenoides formosipes,Animalia,research,
0e229c3d-ce78-4dca-8a5e-82ce019542d6,10/20/2024,2024-10-20 19:53:00 UTC,https://www.inaturalist.org/observations/251802590,https://inaturalist-open-data.s3.amazonaws.com/photos/450621481/medium.jpg,,"Tompkins County, NY, USA",42.45580266,-76.45494063,,Tompkins,New York,United States,"No, none of these",https://www.inaturalist.org/observations/251802590,251802590,251802590,251802590,Scathophaga,,Insecta,68718,,Animalia,research,251802590,Scathophaga,,Insecta,68718,,Animalia,research,
2f4bb464-9cb2-419d-9fd0-16bc77f9d71c,9/16/2009,2009-09-16 21:03:00 UTC,https://www.inaturalist.org/observations/266155697,https://inaturalist-open-data.s3.amazonaws.com/photos/478180364/medium.jpeg,observation is for the female,"Illinois, US",41.8880928,-87.97241039,,DuPage,Illinois,United States,"No, none of these",https://www.inaturalist.org/observations/266155695,266155695,266155695,266155697,Araneus diadematus,Cross Orbweaver,Arachnida,52628,Araneus diadematus,Animalia,research,266155695,Araneus diadematus,Cross Orbweaver,Arachnida,52628,Araneus diadematus,Animalia,research,
7f5d259c-fd3e-45fc-b50f-99aaeb5c8b0f,4/10/2025,2025-04-10 18:39:00 UTC,https://www.inaturalist.org/observations/269731494,https://inaturalist-open-data.s3.amazonaws.com/photos/485010435/medium.jpeg,"A Black Oystercatcher with a greenish polychaete worm. I was surprised because yesterday I photographed one with a Ragworms and Allies Family Nereididae worm, the first time I'd seen an oystercatcher eat a worm, and today I saw two more worms being eaten!","Jefferson County, WA, USA",48.1398867,-122.799918,,Jefferson,Washington,United States,Scavenging,https://www.inaturalist.org/observations/269731499,269731499,269731499,269731494,Haematopus bachmani,Black Oystercatcher,Aves,4838,Haematopus bachmani,Animalia,research,269731499,Haematopus bachmani,Black Oystercatcher,Aves,4838,Haematopus bachmani,Animalia,research,
a4d58412-52dc-4935-a6cc-bb2b15611552,6/14/2025,2025-06-14 08:13:00 UTC,https://www.inaturalist.org/observations/289605155,https://inaturalist-open-data.s3.amazonaws.com/photos/520899630/medium.jpg,,"Cardiff, UK",51.51982761,-3.243328509,,Cardiff,Wales,United Kingdom,"No, none of these",https://www.inaturalist.org/observations/289605155,289605155,289605155,289605155,Alcedo atthis,Common Kingfisher,Aves,2599,Alcedo atthis,Animalia,research,289605155,Alcedo atthis,Common Kingfisher,Aves,2599,Alcedo atthis,Animalia,research,
2a7ca0b5-ab32-4017-bb0a-b37fc65be551,6/1/2025,2025-06-01 11:15:00 UTC,https://www.inaturalist.org/observations/291207387,https://inaturalist-open-data.s3.amazonaws.com/photos/523925794/medium.jpg,Egg predation,"Isle of May, Fife, UK",56.18346873,-2.554309048,,Fife,Scotland,United Kingdom,"No, none of these",https://www.inaturalist.org/observations/291208225,291208225,291208225,291207387,Larus fuscus,Lesser Black-backed Gull,Aves,4381,Larus fuscus,Animalia,research,291208225,Larus fuscus,Lesser Black-backed Gull,Aves,4381,Larus fuscus,Animalia,research,
a4e8f928-0dd4-42be-ba7b-10d63174ba6d,5/1/2023,2023-05-01 09:51:02 UTC,https://www.inaturalist.org/observations/311005687,https://inaturalist-open-data.s3.amazonaws.com/photos/561375018/medium.jpg,,"44-230 Czerwionka-Leszczyny, Polska",50.16526311,18.65797095,,Rybnik,Silesian,Poland,Pollination,https://www.inaturalist.org/observations/311005687,311005687,311005687,311005687,Apis mellifera,Western Honey Bee,Insecta,47219,Apis mellifera,Animalia,research,311005687,Apis mellifera,Western Honey Bee,Insecta,47219,Apis mellifera,Animalia,research,
3942c34b-633e-4e28-b2ee-b172ca1f5003,8/24/2025,2025-08-24 19:01:00 UTC,https://www.inaturalist.org/observations/311076518,https://inaturalist-open-data.s3.amazonaws.com/photos/561508228/medium.jpg,,"Monroe County, NY, USA",43.367215,-77.960356,,Monroe,New York,United States,Pollination,https://www.inaturalist.org/observations/311076518,311076518,311076518,311076518,Diabrotica undecimpunctata,Spotted Cucumber Beetle,Insecta,55487,Diabrotica undecimpunctata,Animalia,research,311076518,Diabrotica undecimpunctata,Spotted Cucumber Beetle,Insecta,55487,Diabrotica undecimpunctata,Animalia,research,
