predator_scientific_name,predator_taxon_kingdom,prey_scientific_name,prey_taxon_kingdom,is_carnivorous_plant,valid_eats_prey,My Remarks,Need to check?,Type of Feeding
Phalacrocorax carbo,Animalia,Actinopterygii,Animalia,,,,,
Podiceps cristatus,Animalia,Actinopterygii,Animalia,,,,,
Podilymbus podiceps,Animalia,Actinopterygii,Animalia,,,,,
Sterna forsteri,Animalia,Actinopterygii,Animalia,,,,,
Tachybaptus ruficollis capensis,Animalia,Actinopterygii,Animalia,,,,,
Thalasseus bergii,Animalia,Actinopterygii,Animalia,,,,,
Thalasseus maximus,Animalia,Actinopterygii,Animalia,,,,,
Icthyophaga vocifer,Animalia,Actophilornis africanus,Animalia,,,,,
Zonotrichia leucophrys,Animalia,Aculeata,Animalia,,,,,
Crinifer concolor,Animalia,Adansonia digitata,Plantae,,,,,
Loxodonta africana,Animalia,Adansonia digitata,Plantae,,,,,
Haliaeetus leucocephalus,Animalia,Aechmophorus occidentalis occidentalis,Animalia,,,,,
Platycryptus undatus,Animalia,Aedes,Animalia,,,,,
Steatoda borealis,Animalia,Aeolus mellillus,Animalia,,,,,
Panthera pardus,Animalia,Aepyceros melampus,Animalia,,,,,
Panthera pardus pardus,Animalia,Aepyceros melampus,Animalia,,,,,
Gyps africanus,Animalia,Aepyceros melampus melampus,Animalia,,,,,
Necrosyrtes monachus,Animalia,Aepyceros melampus melampus,Animalia,,,,,
Pachylomera femoralis,Animalia,Aepyceros melampus melampus,Animalia,,,,,
Afrorhytida kraussi,Animalia,Afrorhytida kraussi kraussi,Animalia,,,,,
Afrorhytida kraussi kraussi,Animalia,Afrorhytida kraussi kraussi,Animalia,,,,,
Acanthorhynchus tenuirostris,Animalia,Agapanthus praecox,Plantae,,,,,
Danaus plexippus,Animalia,Agapanthus praecox,Plantae,,,,,
Arion subfuscus,Animalia,Agaricales,Fungi,,,,,
Kinixys zombensis zombensis,Animalia,Agaricomycetes,Fungi,,,,,
Sciurus griseus,Animalia,Agaricus,Fungi,,,,,
Prionococcus,Animalia,Agave americana,Plantae,,,,,
Lampropeltis getula,Animalia,Agkistrodon contortrix,Animalia,,,,,
Ceriagrion coromandelianum,Animalia,Agriocnemis pygmaea,Animalia,,,,,
Steatoda nobilis,Animalia,Agulla,Animalia,,,,,
Neotamias speciosus,Animalia,Alaus melanops,Animalia,,,,,
Chlorocebus pygerythrus,Animalia,Albizia forbesii,Plantae,,,,,
Chlorocebus pygerythrus pygerythrus,Animalia,Albizia forbesii,Plantae,,,,,
Eriophora ravilla,Animalia,Alcaeorrhynchus grandis,Animalia,,,,,
Alcedo atthis,Animalia,Alcedo atthis,Animalia,,,,,
Bucephala albeola,Animalia,Alitta williami,Animalia,,,,,
Celithemis eponina,Animalia,Allium fistulosum,Plantae,,,,,
Apis mellifera,Animalia,Allium schoenoprasum,Plantae,,,,,
Hylaeus leptocephalus,Animalia,Allium schoenoprasum,Plantae,,,,,
Pieris napi,Animalia,Allium ursinum,Plantae,,,,,
Leiobunum vittatum,Animalia,Allonemobius,Animalia,,,,,
Charaxes varanes,Animalia,Allophylus natalensis,Plantae,,,,,
Charaxes varanes varanes,Animalia,Allophylus natalensis,Plantae,,,,,
Eyralpenus diplosticta,Animalia,Allophylus natalensis,Plantae,,,,,
Tagoropsis flavinata,Animalia,Allophylus natalensis,Plantae,,,,,
Thaumatotibia leucotreta,Animalia,Allophylus natalensis,Plantae,,,,,
Eriophyes laevis,Animalia,Alnus serrulata,Plantae,,,,,
Prociphilus tessellatus,Animalia,Alnus serrulata,Plantae,,,,,
Aceria aloinis,Animalia,Aloe,Plantae,,,,,
Elisolimax flavescens,Animalia,Aloe,Plantae,,,,,
Chalcomitra senegalensis gutturalis,Animalia,Aloe vanbalenii,Plantae,,,,,
Chalcomitra amethystina,Animalia,Aloidendron barberae,Plantae,,,,,
Chalcomitra senegalensis,Animalia,Aloidendron barberae,Plantae,,,,,
Chalcomitra senegalensis gutturalis,Animalia,Aloidendron barberae,Plantae,,,,,
Cinnyris manoensis,Animalia,Aloidendron barberae,Plantae,,,,,
Cinnyris talatala,Animalia,Aloidendron barberae,Plantae,,,,,
Cinnyris venustus,Animalia,Aloidendron barberae,Plantae,,,,,
Flaminia natalensis,Animalia,Aloidendron barberae,Plantae,,,,,
Pycnonotus barbatus layardi,Animalia,Aloidendron barberae,Plantae,,,,,
Varanus niloticus,Animalia,Alopochen aegyptiaca,Animalia,,,,,
Colotis annae,Animalia,Alternanthera pungens,Plantae,,,,,
Colotis annae annae,Animalia,Alternanthera pungens,Plantae,,,,,
Colotis euippe,Animalia,Alternanthera pungens,Plantae,,,,,
Colotis euippe omphale,Animalia,Alternanthera pungens,Plantae,,,,,
Parasteatoda tepidariorum,Animalia,Altica chalybea,Animalia,,,,,
Hemidactylus mabouia,Animalia,Amata simplex,Animalia,,,,,
Kukulcania hibernalis,Animalia,Amblycorypha,Animalia,,,,,
Macrelaps microlepidotus,Animalia,Amblysomus hottentotus,Animalia,,,,,
Utetheisa pulchella,Animalia,Ambrosia confertiflora,Plantae,,,,,
Spinus psaltria,Animalia,Ambrosia psilostachya,Plantae,,,,,
Ardea herodias,Animalia,Ameiurus,Animalia,,,,,
Pandion haliaetus,Animalia,Ameiurus melas,Animalia,,,,,
Ardea alba,Animalia,Ameiurus natalis,Animalia,,,,,
Ardea herodias,Animalia,Ameiurus natalis,Animalia,,,,,
Nerodia rhombifer,Animalia,Ameiurus natalis,Animalia,,,,,
Nannopterum auritum,Animalia,Ameiurus nebulosus,Animalia,,,,,
Pandion haliaetus,Animalia,Ameiurus nebulosus,Animalia,,,,,
Podilymbus podiceps,Animalia,Ameiurus nebulosus,Animalia,,,,,
Icterus bullockii,Animalia,Amelanchier alnifolia,Plantae,,,,,
Philothamnus angolensis,Animalia,Amietia delalandii,Animalia,,,,,
Sterna hirundo,Animalia,Ammodytes,Animalia,,,,,
Lycodon rufozonatus,Animalia,Amolops wuyiensis,Animalia,,,,,
Parasteatoda tepidariorum,Animalia,Amphimallon assimile,Animalia,,,,,
Ardea herodias,Animalia,Amphiuma,Animalia,,,,,
Farancia abacura,Animalia,Amphiuma means,Animalia,,,,,
Farancia abacura abacura,Animalia,Amphiuma means,Animalia,,,,,
Glaucopsyche lygdamus,Animalia,Amsinckia,Plantae,,,,,
Spinus psaltria,Animalia,Amsinckia,Plantae,,,,,
Phidippus audax,Animalia,Anaea andria,Animalia,,,,,
Phidippus audax,Animalia,Anania funebris,Animalia,,,,,
Argynnis coronis,Animalia,Anaphalis margaritacea,Plantae,,,,,
Mallota bautias,Animalia,Anaphalis margaritacea,Plantae,,,,,
Neogale vison,Animalia,Anas platyrhynchos,Animalia,,,,,
Haliaeetus leucocephalus,Animalia,Anatidae,Animalia,,,,,
Merops persicus,Animalia,Anax imperator,Animalia,,,,,
Merops persicus persicus,Animalia,Anax imperator,Animalia,,,,,
Agelaius phoeniceus,Animalia,Anax junius,Animalia,,,,,
Egretta caerulea,Animalia,Anax junius,Animalia,,,,,
Merops apiaster,Animalia,Anax parthenope,Animalia,,,,,
Nerodia sipedon,Animalia,Anaxyrus americanus,Animalia,,,,,
Thamnophis sirtalis,Animalia,Anaxyrus americanus,Animalia,,,,,
Thamnophis sirtalis,Animalia,Anaxyrus americanus americanus,Animalia,,,,,
Thamnophis sirtalis sirtalis,Animalia,Anaxyrus americanus americanus,Animalia,,,,,
Manorina melanocephala,Animalia,Anchiale austrotessulata,Animalia,,,,,
Apis mellifera,Animalia,Anchusa officinalis,Plantae,,,,,
Bombus huntii,Animalia,Anchusa officinalis,Plantae,,,,,
Bombus rufocinctus,Animalia,Anchusa officinalis,Plantae,,,,,
Ochlodes sylvanoides,Animalia,Anchusa officinalis,Plantae,,,,,
Amblyospiza albifrons woltersi,Animalia,Ancistrotermes,Animalia,,,,,
Cinnyris venustus,Animalia,Ancistrotermes,Animalia,,,,,
Gallirex porphyreolophus porphyreolophus,Animalia,Ancistrotermes,Animalia,,,,,
Laniarius major,Animalia,Ancistrotermes,Animalia,,,,,
Streptopelia semitorquata,Animalia,Ancistrotermes,Animalia,,,,,
Trachylepis wahlbergii,Animalia,Ancistrotermes,Animalia,,,,,
Zosterops anderssoni,Animalia,Ancistrotermes,Animalia,,,,,
Exosoma lusitanicum,Animalia,Andryala integrifolia,Plantae,,,,,
Toxomerus marginatus,Animalia,Anemone berlandieri,Plantae,,,,,
Papilio zelicaon,Animalia,Angelica hendersonii,Plantae,,,,,
Appias paulina,Animalia,Angiospermae,Plantae,,,,,
Bombus terrestris,Animalia,Angiospermae,Plantae,,,,,
Brephidium exilis,Animalia,Angiospermae,Plantae,,,,,
Chlorocebus pygerythrus pygerythrus,Animalia,Angiospermae,Plantae,,,,,
Hippotion scrofa,Animalia,Angiospermae,Plantae,,,,,
Hyles lineata,Animalia,Angiospermae,Plantae,,,,,
Papio ursinus griseipes,Animalia,Angiospermae,Plantae,,,,,
Stactolaema leucotis leucotis,Animalia,Angiospermae,Plantae,,,,,
Ardea cinerea,Animalia,Anguilla anguilla,Animalia,,,,,
Egretta garzetta,Animalia,Anguilla anguilla,Animalia,,,,,
Larus marinus,Animalia,Anguilla anguilla,Animalia,,,,,
Larus michahellis,Animalia,Anguilla anguilla,Animalia,,,,,
Phalacrocorax carbo,Animalia,Anguilla anguilla,Animalia,,,,,
Ardea alba modesta,Animalia,Anguilla australis,Animalia,,,,,
Ardea herodias,Animalia,Anguilla rostrata,Animalia,,,,,
Nannopterum auritum,Animalia,Anguilla rostrata,Animalia,,,,,
Nicrophorus vespilloides,Animalia,Anguis fragilis,Animalia,,,,,
Hierophis viridiflavus,Animalia,Anguis veronensis,Animalia,,,,,
Hierophis viridiflavus carbonarius,Animalia,Anguis veronensis,Animalia,,,,,
Ardea alba,Animalia,Animalia,Animalia,,,,,
Calidris alba,Animalia,Animalia,Animalia,,,,,
Fulica americana,Animalia,Animalia,Animalia,,,,,
Milvus migrans parasitus,Animalia,Animalia,Animalia,,,,,
Tamias striatus,Animalia,Animalia,Animalia,,,,,
Tringa glareola,Animalia,Animalia,Animalia,,,,,
Argiope argentata,Animalia,Anisoptera,Animalia,,,,,
Lamprotornis bicolor,Animalia,Anisoptera,Animalia,,,,,
Merops persicus persicus,Animalia,Anisoptera,Animalia,,,,,
Vespula squamosa,Animalia,Anisota,Animalia,,,,,
Coccyzus americanus,Animalia,Anisota pellucida,Animalia,,,,,
Vespula maculifrons,Animalia,Anisota senatoria,Animalia,,,,,
Setophaga coronata,Animalia,Annelida,Animalia,,,,,
Turdus iliacus coburni,Animalia,Annelida,Animalia,,,,,
Graphium angolanus,Animalia,Annona senegalensis,Plantae,,,,,
Graphium angolanus angolanus,Animalia,Annona senegalensis,Plantae,,,,,
Lanius ludovicianus,Animalia,Anolis sagrei,Animalia,,,,,
Anolis sagrei,Animalia,Anolis sagrei,Animalia,,,,,
Ardea herodias,Animalia,Anoplarchus purpurescens,Animalia,,,,,
Merops persicus persicus,Animalia,Anoplocnemis,Animalia,,,,,
Circus hudsonius,Animalia,Anser caerulescens,Animalia,,,,,
Callophrys gryneus,Animalia,Antennaria anaphaloides,Plantae,,,,,
Coenosia tigrina,Animalia,Anthomyiidae,Animalia,,,,,
Agelanthus pungu,Plantae,Plicosepalus kalachariensis,Plantae,FALSE,TRUE,Plant–plant parasite edge (a mistletoe feeding on another mistletoe),,Epiparasitism
Hediocoris tibialis,Animalia,Anthophila,Animalia,,,,,
Misumena vatia,Animalia,Anthophila,Animalia,,,,,
Misumenini,Animalia,Anthophila,Animalia,,,,,
Sigelus silens,Animalia,Anthophila,Animalia,,,,,
Thomisus onustus,Animalia,Anthophila,Animalia,,,,,
Haematopus bachmani,Animalia,Anthopleura elegantissima,Animalia,,,,,
Agelanthus subulatus,Plantae,Pterocarpus angolensis,Plantae,FALSE,TRUE,parasite (mistletoe) feeding from host tree,,Hemiparasitism
Enoplognatha ovata,Animalia,Anthrenus verbasci,Animalia,,,,,
Apis florea,Animalia,Antigonon leptopus,Plantae,,,,,
Panthera pardus pardus,Animalia,Antilopinae,Animalia,,,,,
Buteo buteo vulpinus,Animalia,Anura,Animalia,,,,,
Elanoides forficatus,Animalia,Anura,Animalia,,,,,
Milvus migrans parasitus,Animalia,Anura,Animalia,,,,,
Thamnophis proximus,Animalia,Anura,Animalia,,,,,
Thamnophis sirtalis fitchi,Animalia,Anura,Animalia,,,,,
Zapornia flavirostra,Animalia,Anura,Animalia,,,,,
Dilophus,Animalia,Anystis,Animalia,,,,,
Alligator mississippiensis,Animalia,Apalone ferox,Animalia,,,,,
Ardea herodias,Animalia,Apalone spinifera,Animalia,,,,,
Hyla versicolor,Animalia,Apantesis virgo,Animalia,,,,,
Egretta garzetta,Animalia,Aphanius fasciatus,Animalia,,,,,
Cheilomenes sulphurea,Animalia,Aphididae,Animalia,,,,,
Ischiodon aegyptius,Animalia,Aphididae,Animalia,,,,,
Agelanthus subulatus,Plantae,Pterocarpus rotundifolius rotundifolius,Plantae,FALSE,TRUE,"mistletoe as parasite, Pterocarpus as host",,Hemiparasitism
Chrysoperla rufilabris,Animalia,Aphis fabae,Animalia,,,,,
Cercopithecus mitis,Animalia,Aphloia theiformis,Plantae,,,,,
Cercopithecus mitis erythrarchus,Animalia,Aphloia theiformis,Plantae,,,,,
Asilus crabroniformis,Animalia,Aphodiinae,Animalia,,,,,
Agelenopsis,Animalia,Aphrodes,Animalia,,,,,
Gonepteryx cleopatra,Animalia,Aphyllanthes monspeliensis,Plantae,,,,,
Apis mellifera,Animalia,Apiomerus californicus,Animalia,,,,,
Andrenosoma hesperium,Animalia,Apis mellifera,Animalia,,,,,
Apiomerus californicus,Animalia,Apis mellifera,Animalia,,,,,
Argiope trifasciata,Animalia,Apis mellifera,Animalia,,,,,
Mecaphesa celer,Animalia,Apis mellifera,Animalia,,,,,
Misumena vatia,Animalia,Apis mellifera,Animalia,,,,,
Misumenoides formosipes,Animalia,Apis mellifera,Animalia,,,,,
Palarus latifrons,Animalia,Apis mellifera,Animalia,,,,,
Peucetia viridans,Animalia,Apis mellifera,Animalia,,,,,
Phymata americana,Animalia,Apis mellifera,Animalia,,,,,
Rhynocoris segmentarius,Animalia,Apis mellifera,Animalia,,,,,
Synema imitatrix,Animalia,Apis mellifera,Animalia,,,,,
Trichonephila clavata,Animalia,Apis mellifera,Animalia,,,,,
Vespula pensylvanica,Animalia,Apis mellifera,Animalia,,,,,
Apis mellifera,Animalia,Apis mellifera,Animalia,,,,,
Synema imitatrix,Animalia,Apis mellifera capensis,Animalia,,,,,
Orthetrum stemmale,Animalia,Apis mellifera scutellata,Animalia,,,,,
Palarus latifrons,Animalia,Apis mellifera scutellata,Animalia,,,,,
Synema imitatrix,Animalia,Apis mellifera scutellata,Animalia,,,,,
Thomisus kalaharinus,Animalia,Apis mellifera scutellata,Animalia,,,,,
Thomisus stenningi,Animalia,Apis mellifera scutellata,Animalia,,,,,
Larus smithsonianus,Animalia,Aplodinotus grunniens,Animalia,,,,,
Gasteracantha cancriformis,Animalia,Apocrita,Animalia,,,,,
Ardea herodias,Animalia,Apodichthys flavidus,Animalia,,,,,
Onychognathus morio morio,Animalia,Apodytes dimidiata,Plantae,,,,,
Saga pedo,Animalia,Aporia crataegi,Animalia,,,,,
Paraxerus palliatus,Animalia,Arachis hypogaea,Plantae,,,,,
Paraxerus palliatus tongensis,Animalia,Arachis hypogaea,Plantae,,,,,
Poecile atricapillus,Animalia,Arachis hypogaea,Plantae,,,,,
Centropus burchellii burchellii,Animalia,Araneae,Animalia,,,,,
Garrulax leucolophus,Animalia,Araneae,Animalia,,,,,
Halcyon chelicuti,Animalia,Araneae,Animalia,,,,,
Marpissa muscosa,Animalia,Araneae,Animalia,,,,,
Phidippus audax,Animalia,Araneae,Animalia,,,,,
Platycryptus undatus,Animalia,Araneae,Animalia,,,,,
Ploceus xanthopterus marleyi,Animalia,Araneae,Animalia,,,,,
Poecile atricapillus,Animalia,Araneae,Animalia,,,,,
Sayornis phoebe,Animalia,Araneae,Animalia,,,,,
Sceliphron caementarium,Animalia,Araneae,Animalia,,,,,
Sialia sialis,Animalia,Araneae,Animalia,,,,,
Upupa epops africana,Animalia,Araneae,Animalia,,,,,
Vanellus senegallus lateralis,Animalia,Araneae,Animalia,,,,,
Araneus diadematus,Animalia,Araneus diadematus,Animalia,,,,,
Marpissa muscosa,Animalia,Araniella,Animalia,,,,,
Aphis nerii,Animalia,Araujia sericifera,Plantae,,,,,
Aspidimorpha angolensis,Animalia,Arborescentes,Plantae,,,,,
Chiridopsis nigrosepta,Animalia,Arborescentes,Plantae,,,,,
Marmara arbutiella,Animalia,Arbutus menziesii,Plantae,,,,,
Acrocephalus schoenobaenus,Animalia,Archipini,Animalia,,,,,
Corvus albus,Animalia,Archontophoenix cunninghamiana,Plantae,,,,,
Pycnonotus barbatus layardi,Animalia,Archontophoenix cunninghamiana,Plantae,,,,,
Turdus migratorius,Animalia,Arctiini,Animalia,,,,,
Argynnis hesperis,Animalia,Arctium minus,Plantae,,,,,
Argynnis hesperis hesperis,Animalia,Arctium minus,Plantae,,,,,
Larus dominicanus,Animalia,Arctocephalus forsteri,Animalia,,,,,
Bombus melanopygus,Animalia,Arctostaphylos patula,Plantae,,,,,
Celastrina echo,Animalia,Arctostaphylos uva-ursi,Plantae,,,,,
Diabrotica undecimpunctata,Animalia,Arctotheca prostrata,Plantae,,,,,
Astur melanoleucus,Animalia,Ardea ibis,Animalia,,,,,
Argiope lobata,Animalia,Aricia cramera,Animalia,,,,,
Thamnophis ordinoides,Animalia,Ariolimax columbianus,Animalia,,,,,
Cardinalis cardinalis,Animalia,Armadillidium,Animalia,,,,,
Ocypus olens,Animalia,Armadillidium,Animalia,,,,,
Steatoda triangulosa,Animalia,Armadillidium arcangelii,Animalia,,,,,
Leptogenys falcigera,Animalia,Armadillidium vulgare,Animalia,,,,,
Steatoda triangulosa,Animalia,Armadillidium vulgare,Animalia,,,,,
Nyctanassa violacea,Animalia,Armases cinereum,Animalia,,,,,
Rhagonycha fulva,Animalia,Armeria maritima,Plantae,,,,,
Typocerus zebra,Animalia,Aronia arbutifolia,Plantae,,,,,
Cepphus columba,Animalia,Artedius harringtoni,Animalia,,,,,
Larus californicus,Animalia,Artemia monica,Animalia,,,,,
Leiothlypis peregrina,Animalia,Arthropoda,Animalia,,,,,
Salticus scenicus,Animalia,Arthropoda,Animalia,,,,,
Ardea alba,Animalia,Arvicolinae,Animalia,,,,,
Ciconia ciconia ciconia,Animalia,Arvicolinae,Animalia,,,,,
Euchaetes egle,Animalia,Asclepias,Plantae,,,,,
Danaus plexippus,Animalia,Asclepias curassavica,Plantae,,,,,
Apis mellifera,Animalia,Asclepias fascicularis,Plantae,,,,,
Anchusa officinalis,Plantae,Bombus mixtus,Animalia,FALSE,FALSE,Pollination,,Pollination
Polistes marginalis,Animalia,Asclepias gordon-grayae,Plantae,,,,,
Bombus griseocollis,Animalia,Asclepias speciosa,Plantae,,,,,
Bombus nevadensis,Animalia,Asclepias speciosa,Plantae,,,,,
Lon taxiles,Animalia,Asclepias speciosa,Plantae,,,,,
Papilio rutulus,Animalia,Asclepias speciosa,Plantae,,,,,
Aphis nerii,Animalia,Asclepias syriaca,Plantae,,,,,
Cycnia collaris,Animalia,Asclepias syriaca,Plantae,,,,,
Danaus plexippus,Animalia,Asclepias syriaca,Plantae,,,,,
Tetraopes tetrophthalmus,Animalia,Asclepias syriaca,Plantae,,,,,
Ptenothrix maculosa,Animalia,Ascocoryne sarcoides,Fungi,,,,,
Misumenoides,Animalia,Asemosyrphus arquatus,Animalia,,,,,
Omphalocera munroei,Animalia,Asimina incana,Plantae,,,,,
Omphalocera munroei,Animalia,Asimina obovata,Plantae,,,,,
Eurytides marcellus,Animalia,Asimina parviflora,Plantae,,,,,
Omphalocera munroei,Animalia,Asimina parviflora,Plantae,,,,,
Arthrophaga myriapodina,Fungi,Xystocheir dissecta,Animalia,FALSE,TRUE,This fungi is supposed to be a fungi which infects millipedes. Even though this is no direct evidence but the image does suggest the interaction,Yes,Parasitism
Pseudaulacaspis cockerelli,Animalia,Asimina parviflora,Plantae,,,,,
Gopherus polyphemus,Animalia,Asimina pygmaea,Plantae,,,,,
Omphalocera munroei,Animalia,Asimina pygmaea,Plantae,,,,,
Omphalocera munroei,Animalia,Asimina reticulata,Plantae,,,,,
Coniodictyum chevalieri,Fungi,Ziziphus mucronata,Plantae,FALSE,TRUE,Coniodictyum chevalieri is a smut fungus causing witches’ broom disease on Ziziphus mucronata (African buffalo-thorn).,,Parasitism
Andrena,Animalia,Asimina triloba,Plantae,,,,,
Dolba hyloeus,Animalia,Asimina triloba,Plantae,,,,,
Eurytides marcellus,Animalia,Asimina triloba,Plantae,,,,,
Omphalocera munroei,Animalia,Asimina triloba,Plantae,,,,,
Cystotheca mexicana,Fungi,Quercus rugosa,Plantae,FALSE,TRUE,Cystotheca mexicana is a powdery mildew fungus (Erysiphaceae) that infects oaks,,Parasitism
Sphyrapicus varius,Animalia,Asimina triloba,Plantae,,,,,
Trigonopeltastes delta,Animalia,Asimina Ã— nashii,Plantae,,,,,
Entomophthora,Fungi,Lucilia,Animalia,FALSE,TRUE,Entomophthora muscae fungi is infecting on the flies,,Parasitism
Arniocera erythropyga,Animalia,Asparagus,Plantae,,,,,
Mausoleopsis amabilis interrupta,Animalia,Asparagus,Plantae,,,,,
Horistus infuscatus,Animalia,Asphodeline,Plantae,,,,,
Turdoides jardineii,Animalia,Aspidimorpha angolensis,Animalia,,,,,
Camponotus rubrithorax,Animalia,Aspidiotini,Animalia,,,,,
Chilocorus cacti,Animalia,Aspidiotini,Animalia,,,,,
Ardea herodias,Animalia,Astacoidea,Animalia,,,,,
Podilymbus podiceps,Animalia,Astacoidea,Animalia,,,,,
Acada biseriata,Animalia,Asteraceae,Plantae,,,,,
Argynnis zerene,Animalia,Asteraceae,Plantae,,,,,
Bocchoris inspersalis,Animalia,Asteraceae,Plantae,,,,,
Crithagra citrinipectus,Animalia,Asteraceae,Plantae,,,,,
Crithagra sulphurata wilsoni,Animalia,Asteraceae,Plantae,,,,,
Eristalinus taeniops,Animalia,Asteraceae,Plantae,,,,,
Eristalis tenax,Animalia,Asteraceae,Plantae,,,,,
Ploceus intermedius,Animalia,Asteraceae,Plantae,,,,,
Stenodacma wahlbergi,Animalia,Asteraceae,Plantae,,,,,
Telchinia serena,Animalia,Asteraceae,Plantae,,,,,
Larus argentatus,Animalia,Asterias rubens,Animalia,,,,,
Bombus nevadensis,Animalia,Astragalus cicer,Plantae,,,,,
Cyaniris semiargus,Animalia,Astragalus syriacus,Plantae,,,,,
Hypolycaena philippus,Animalia,Asystasia intrusa,Plantae,,,,,
Hypolycaena philippus philippus,Animalia,Asystasia intrusa,Plantae,,,,,
Papilio dardanus,Animalia,Asystasia intrusa,Plantae,,,,,
Papilio dardanus cenea,Animalia,Asystasia intrusa,Plantae,,,,,
Rynchops niger,Animalia,Atherinops affinis,Animalia,,,,,
Megaceryle alcyon,Animalia,Atherinopsinae,Animalia,,,,,
