scientific_name,common_name,iconic_taxon_name,taxon_kingdom,taxon_species,taxon_phylum,taxon_subphylum,taxon_superclass,taxon_class,taxon_subclass,taxon_superorder,taxon_order,taxon_suborder,taxon_superfamily,taxon_family,taxon_subfamily,taxon_supertribe,taxon_tribe,taxon_subtribe,taxon_genus,taxon_genushybrid,taxon_hybrid,taxon_subspecies,taxon_variety,taxon_form
Acanthus mollis,Bear's breeches,Plantae,Plantae,Acanthus mollis,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Acanthaceae,Acanthoideae,,Acantheae,Acanthinae,Acanthus,,,,,
Accipiter nisus,Eurasian Sparrowhawk,Aves,Animalia,Accipiter nisus,Chordata,Vertebrata,,Aves,,,Accipitriformes,,,Accipitridae,Accipitrinae,,,,Accipiter,,,Accipiter nisus nisus,,
Accipiter nisus nisus,European Sparrowhawk,Aves,Animalia,Accipiter nisus,Chordata,Vertebrata,,Aves,,,Accipitriformes,,,Accipitridae,Accipitrinae,,,,Accipiter,,,Accipiter nisus nisus,,
Accipiter striatus,Sharp-shinned Hawk,Aves,Animalia,Accipiter striatus,Chordata,Vertebrata,,Aves,,,Accipitriformes,,,Accipitridae,Accipitrinae,,,,Accipiter,,,,,
Acer negundo,box elder,Plantae,Plantae,Acer negundo,Tracheophyta,Angiospermae,,Magnoliopsida,,,Sapindales,,,Sapindaceae,,,,,Acer,,,,,
Acer pseudoplatanus,sycamore maple,Plantae,Plantae,Acer pseudoplatanus,Tracheophyta,Angiospermae,,Magnoliopsida,,,Sapindales,,,Sapindaceae,,,,,Acer,,,,,
Acer rubrum,red maple,Plantae,Plantae,Acer rubrum,Tracheophyta,Angiospermae,,Magnoliopsida,,,Sapindales,,,Sapindaceae,,,,,Acer,,,,,
Acer saccharinum,silver maple,Plantae,Plantae,Acer saccharinum,Tracheophyta,Angiospermae,,Magnoliopsida,,,Sapindales,,,Sapindaceae,,,,,Acer,,,,,
Aceria camdeboo,,Arachnida,Animalia,Aceria camdeboo,Arthropoda,Chelicerata,,Arachnida,Acari,Acariformes,Sarcoptiformes,Endeostigmata,Eriophyoidea,Eriophyidae,Eriophyinae,,Aceriini,,Aceria,,,,,
Aceria lantanae,Lantana Flower Gallmite,Arachnida,Animalia,Aceria lantanae,Arthropoda,Chelicerata,,Arachnida,Acari,Acariformes,Sarcoptiformes,Endeostigmata,Eriophyoidea,Eriophyidae,Eriophyinae,,Aceriini,,Aceria,,,,,
Aceria negundi,box elder pouch gall mite,Arachnida,Animalia,Aceria negundi,Arthropoda,Chelicerata,,Arachnida,Acari,Acariformes,Sarcoptiformes,Endeostigmata,Eriophyoidea,Eriophyidae,Eriophyinae,,Aceriini,,Aceria,,,,,
Aceria theospyri,persimmon leaf blister gall,Arachnida,Animalia,Aceria theospyri,Arthropoda,Chelicerata,,Arachnida,Acari,Acariformes,Sarcoptiformes,Endeostigmata,Eriophyoidea,Eriophyidae,Eriophyinae,,Aceriini,,Aceria,,,,,
Achillea millefolium,common yarrow,Plantae,Plantae,Achillea millefolium,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,,Anthemideae,Matricariinae,Achillea,,,,,
Acokanthera oblongifolia,Dune Poison-bush,Plantae,Plantae,Acokanthera oblongifolia,Tracheophyta,Angiospermae,,Magnoliopsida,,,Gentianales,,,Apocynaceae,Rauvolfioideae,,Carisseae,,Acokanthera,,,,,
Acridotheres tristis,Common Myna,Aves,Animalia,Acridotheres tristis,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Sturnidae,,,,,Acridotheres,,,,,
Acronicta interrupta,Interrupted Dagger,Insecta,Animalia,Acronicta interrupta,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Noctuoidea,Noctuidae,Acronictinae,,,,Acronicta,,,,,
Acronicta rumicis,Knot Grass Moth,Insecta,Animalia,Acronicta rumicis,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Noctuoidea,Noctuidae,Acronictinae,,,,Acronicta,,,,,
Acronyctodes cautama,,Insecta,Animalia,Acronyctodes cautama,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Geometroidea,Geometridae,Ennominae,,Ennomini,,Acronyctodes,,,,,
Actaea racemosa,black cohosh,Plantae,Plantae,Actaea racemosa,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ranunculales,,,Ranunculaceae,Ranunculoideae,,Actaeeae,,Actaea,,,,,
Actias luna,North American Luna Moth,Insecta,Animalia,Actias luna,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Bombycoidea,Saturniidae,Saturniinae,,Saturniini,,Actias,,,,,
Actophilornis africanus,African Jacana,Aves,Animalia,Actophilornis africanus,Chordata,Vertebrata,,Aves,,,Charadriiformes,,,Jacanidae,,,,,Actophilornis,,,,,
Aculus minutissimus,,Arachnida,Animalia,Aculus minutissimus,Arthropoda,Chelicerata,,Arachnida,Acari,Acariformes,Sarcoptiformes,Endeostigmata,Eriophyoidea,Eriophyidae,Phyllocoptinae,,Anthocoptini,,Aculus,,,,,
Adansonia digitata,African baobab,Plantae,Plantae,Adansonia digitata,Tracheophyta,Angiospermae,,Magnoliopsida,,,Malvales,,,Malvaceae,Bombacoideae,,,,Adansonia,,,,,
Adejeania vexatrix,,Insecta,Animalia,Adejeania vexatrix,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,Oestroidea,Tachinidae,Tachininae,,Tachinini,,Adejeania,,,,,
Aechmophorus occidentalis occidentalis,,Aves,Animalia,Aechmophorus occidentalis,Chordata,Vertebrata,,Aves,,,Podicipediformes,,,Podicipedidae,,,,,Aechmophorus,,,Aechmophorus occidentalis occidentalis,,
Aeolus mellillus,Sweet Click Beetle,Insecta,Animalia,Aeolus mellillus,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Elateroidea,Elateridae,Agrypninae,,Oophorini,,Aeolus,,,,,
Aepyceros melampus,Impala,Mammalia,Animalia,Aepyceros melampus,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Artiodactyla,Ruminantia,,Bovidae,Antilopinae,,Aepycerotini,,Aepyceros,,,,,
Aepyceros melampus melampus,Common Impala,Mammalia,Animalia,Aepyceros melampus,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Artiodactyla,Ruminantia,,Bovidae,Antilopinae,,Aepycerotini,,Aepyceros,,,Aepyceros melampus melampus,,
Aerophilus nigripes,,Insecta,Animalia,Aerophilus nigripes,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Ichneumonoidea,Braconidae,Agathidinae,,Agathidini,,Aerophilus,,,,,
Aerospiza tachiro,African Goshawk,Aves,Animalia,Aerospiza tachiro,Chordata,Vertebrata,,Aves,,,Accipitriformes,,,Accipitridae,Accipitrinae,,,,Aerospiza,,,,,
Aethiopocassis vigintimaculata,,Insecta,Animalia,Aethiopocassis vigintimaculata,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Chrysomeloidea,Chrysomelidae,Cassidinae,,Cassidini,,Aethiopocassis,,,,,
Afrogegenes,Dodgers,Insecta,Animalia,,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Papilionoidea,Hesperiidae,Hesperiinae,,Baorini,,Gegenes,,,,,
Afromurzinia lutescens,Translucent Ermine,Insecta,Animalia,Afromurzinia lutescens,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Noctuoidea,Erebidae,Arctiinae,,Arctiini,Spilosomina,Afromurzinia,,,,,
Afrorhytida kraussi,,Mollusca,Animalia,Afrorhytida kraussi,Mollusca,,,Gastropoda,Heterobranchia,Eupulmonata,Stylommatophora,Helicina,Rhytidoidea,Rhytididae,Chlamydephorinae,,,,Afrorhytida,,,Afrorhytida kraussi kraussi,,
Afrorhytida kraussi kraussi,,Mollusca,Animalia,Afrorhytida kraussi,Mollusca,,,Gastropoda,Heterobranchia,Eupulmonata,Stylommatophora,Helicina,Rhytidoidea,Rhytididae,Chlamydephorinae,,,,Afrorhytida,,,Afrorhytida kraussi kraussi,,
Agapostemon virescens,Bicolored Striped Sweat Bee,Insecta,Animalia,Agapostemon virescens,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Halictidae,Halictinae,,Halictini,Caenohalictina,Agapostemon,,,,,
Agelaius phoeniceus,Red-winged Blackbird,Aves,Animalia,Agelaius phoeniceus,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Icteridae,,,,,Agelaius,,,,,
Agelanthus subulatus,,Plantae,Plantae,Agelanthus subulatus,Tracheophyta,Angiospermae,,Magnoliopsida,,,Santalales,,,Loranthaceae,,,Lorantheae,Tapinanthinae,Agelanthus,,,,,
Agelenopsis,Grass Spiders,Arachnida,Animalia,,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,,Agelenidae,Ageleninae,,,,Agelenopsis,,,,,
Ageratina havanensis,Shrubby boneset,Plantae,Plantae,Ageratina havanensis,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,,Eupatorieae,Oxylobinae,Ageratina,,,,,
Agkistrodon contortrix,Eastern Copperhead,Reptilia,Animalia,Agkistrodon contortrix,Chordata,Vertebrata,,Reptilia,,,Squamata,Serpentes,,Viperidae,Crotalinae,,,,Agkistrodon,,,,,
Agonoscelis versicoloratus,Sunflower Seed Bug,Insecta,Animalia,Agonoscelis versicoloratus,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Heteroptera,Pentatomoidea,Pentatomidae,Pentatominae,,Agonoscelidini,,Agonoscelis,,,,,
Agrilus planipennis,Emerald Ash Borer,Insecta,Animalia,Agrilus planipennis,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Buprestoidea,Buprestidae,Agrilinae,,Agrilini,,Agrilus,,,,,
Agriocnemis pygmaea,Wandering Midget,Insecta,Animalia,Agriocnemis pygmaea,Arthropoda,Hexapoda,,Insecta,Pterygota,,Odonata,Zygoptera,Coenagrionoidea,Coenagrionidae,,,,,Agriocnemis,,,,,
Agromyza vockerothi,,Insecta,Animalia,Agromyza vockerothi,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,Opomyzoidea,Agromyzidae,Agromyzinae,,,,Agromyza,,,,,
Alaus melanops,Western Eyed Click Beetle,Insecta,Animalia,Alaus melanops,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Elateroidea,Elateridae,Agrypninae,,Hemirhipini,,Alaus,,,,,
Albizia forbesii,Broad-Pod,Plantae,Plantae,Albizia forbesii,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fabales,,,Fabaceae,Mimosoideae,,Ingeae,,Albizia,,,,,
Alcedo atthis,Common Kingfisher,Aves,Animalia,Alcedo atthis,Chordata,Vertebrata,,Aves,,,Coraciiformes,,,Alcedinidae,Alcedininae,,,,Alcedo,,,,,
Alitta williami,,Animalia,Animalia,Alitta williami,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Nereidiformia,,Nereididae,Nereidinae,,,,Alitta,,,,,
Alligator mississippiensis,American Alligator,Reptilia,Animalia,Alligator mississippiensis,Chordata,Vertebrata,,Reptilia,,,Crocodylia,,,Alligatoridae,,,,,Alligator,,,,,
Allium ursinum,Ramsons,Plantae,Plantae,Allium ursinum,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Amaryllidaceae,Allioideae,,Allieae,,Allium,,,,,
Allodus podophylli,Mayapple Rust,Fungi,Fungi,Allodus podophylli,Basidiomycota,Pucciniomycotina,,Pucciniomycetes,,,Pucciniales,Uredinineae,,,,,,,Allodus,,,,,
Allograpta obliqua,Oblique Streaktail,Insecta,Animalia,Allograpta obliqua,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,,Syrphidae,Syrphinae,,Syrphini,,Allograpta,,,,,
Allophylus natalensis,Dune false currant,Plantae,Plantae,Allophylus natalensis,Tracheophyta,Angiospermae,,Magnoliopsida,,,Sapindales,,,Sapindaceae,,,,,Allophylus,,,,,
Aloe vanbalenii,van Balen's aloe,Plantae,Plantae,Aloe vanbalenii,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Asphodelaceae,Asphodeloideae,,,,Aloe,,,,,
Alopochen aegyptiaca,Egyptian Goose,Aves,Animalia,Alopochen aegyptiaca,Chordata,Vertebrata,,Aves,,,Anseriformes,,,Anatidae,,,,,Alopochen,,,,,
Alternanthera pungens,creeping chaffweed,Plantae,Plantae,Alternanthera pungens,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,Amaranthaceae,Gomphrenoideae,,,,Alternanthera,,,,,
Amata simplex,Simple Maiden,Insecta,Animalia,Amata simplex,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Noctuoidea,Erebidae,Arctiinae,,Syntomini,,Amata,,,,,
Amauris albimaculata,Southern Layman,Insecta,Animalia,Amauris albimaculata,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Papilionoidea,Nymphalidae,Danainae,,Danaini,Amaurina,Amauris,,,Amauris albimaculata albimaculata,,
Amauris albimaculata albimaculata,Southern Layman,Insecta,Animalia,Amauris albimaculata,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Papilionoidea,Nymphalidae,Danainae,,Danaini,Amaurina,Amauris,,,Amauris albimaculata albimaculata,,
Amblyomma hebraeum,South African Bont Tick,Arachnida,Animalia,Amblyomma hebraeum,Arthropoda,Chelicerata,,Arachnida,Acari,Parasitiformes,Ixodida,,,Ixodidae,,,,,Amblyomma,,,,,
Amblyomma nuttalli,Hinged Tortoise Bont Tick,Arachnida,Animalia,Amblyomma nuttalli,Arthropoda,Chelicerata,,Arachnida,Acari,Parasitiformes,Ixodida,,,Ixodidae,,,,,Amblyomma,,,,,
Amblyospiza albifrons,Eastern Thick-billed Weaver,Aves,Animalia,Amblyospiza albifrons,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Ploceidae,,,,,Amblyospiza,,,Amblyospiza albifrons woltersi,,
Amblyospiza albifrons woltersi,Eastern Thick-billed Weaver,Aves,Animalia,Amblyospiza albifrons,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Ploceidae,,,,,Amblyospiza,,,Amblyospiza albifrons woltersi,,
Amblysomus hottentotus,Hottentot Golden Mole,Mammalia,Animalia,Amblysomus hottentotus,Chordata,Vertebrata,,Mammalia,Theria,Afrotheria,Afrosoricida,Chrysochloridea,,Chrysochloridae,Amblysominae,,,,Amblysomus,,,,,
Ambystoma mavortium nebulosum,Arizona Tiger Salamander,Amphibia,Animalia,Ambystoma mavortium,Chordata,Vertebrata,,Amphibia,,,Caudata,,,Ambystomatidae,,,,,Ambystoma,,,Ambystoma mavortium nebulosum,,
Ameiurus natalis,Yellow Bullhead,Actinopterygii,Animalia,Ameiurus natalis,Chordata,Vertebrata,,Actinopterygii,,Ostariophysi,Siluriformes,Siluroidei,,Ictaluridae,,,,,Ameiurus,,,,,
Ameiurus nebulosus,Brown Bullhead,Actinopterygii,Animalia,Ameiurus nebulosus,Chordata,Vertebrata,,Actinopterygii,,Ostariophysi,Siluriformes,Siluroidei,,Ictaluridae,,,,,Ameiurus,,,,,
Amelanchier alnifolia,Saskatoon,Plantae,Plantae,Amelanchier alnifolia,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,Rosaceae,Amygdaloideae,,Maleae,,Amelanchier,,,,,
Amietia delalandii,Common River Frog,Amphibia,Animalia,Amietia delalandii,Chordata,Vertebrata,,Amphibia,,,Anura,,,Pyxicephalidae,Cacosterninae,,,,Amietia,,,,,
Amolops wuyiensis,Wuyi torrent frog,Amphibia,Animalia,Amolops wuyiensis,Chordata,Vertebrata,,Amphibia,,,Anura,,,Ranidae,,,,,Amolops,,,,,
Amphibolips quercuspomiformis,Live Oak Apple Gall Wasp,Insecta,Animalia,Amphibolips quercuspomiformis,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Cynipoidea,Cynipidae,Cynipinae,,Cynipini,,Amphibolips,,,,,
Amphiuma,Amphiumas,Amphibia,Animalia,,Chordata,Vertebrata,,Amphibia,,,Caudata,,,Amphiumidae,,,,,Amphiuma,,,,,
Amphiuma means,Two-toed Amphiuma,Amphibia,Animalia,Amphiuma means,Chordata,Vertebrata,,Amphibia,,,Caudata,,,Amphiumidae,,,,,Amphiuma,,,,,
Amyciaea forticeps,Ant-like Crab Spider,Arachnida,Animalia,Amyciaea forticeps,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Thomisoidea,Thomisidae,Dietinae,,,,Amyciaea,,,,,
Anaea andria,Goatweed Leafwing,Insecta,Animalia,Anaea andria,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Papilionoidea,Nymphalidae,Charaxinae,,Anaeini,,Anaea,,,,,
Anartia jatrophae,White Peacock,Insecta,Animalia,Anartia jatrophae,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Papilionoidea,Nymphalidae,Nymphalinae,,Victorinini,,Anartia,,,,,
Anas platyrhynchos,Mallard,Aves,Animalia,Anas platyrhynchos,Chordata,Vertebrata,,Aves,,,Anseriformes,,,Anatidae,,,,,Anas,,,,,
Anax imperator,Blue Emperor,Insecta,Animalia,Anax imperator,Arthropoda,Hexapoda,,Insecta,Pterygota,,Odonata,Anisoptera,Aeshnoidea,Aeshnidae,,,,,Anax,,,,,
Anax junius,Common Green Darner,Insecta,Animalia,Anax junius,Arthropoda,Hexapoda,,Insecta,Pterygota,,Odonata,Anisoptera,Aeshnoidea,Aeshnidae,,,,,Anax,,,,,
Anax parthenope,Lesser Emperor,Insecta,Animalia,Anax parthenope,Arthropoda,Hexapoda,,Insecta,Pterygota,,Odonata,Anisoptera,Aeshnoidea,Aeshnidae,,,,,Anax,,,,,
Anaxyrus americanus,American Toad,Amphibia,Animalia,Anaxyrus americanus,Chordata,Vertebrata,,Amphibia,,,Anura,,,Bufonidae,,,,,Anaxyrus,,,,,
Anaxyrus americanus americanus,Eastern American Toad,Amphibia,Animalia,Anaxyrus americanus,Chordata,Vertebrata,,Amphibia,,,Anura,,,Bufonidae,,,,,Anaxyrus,,,Anaxyrus americanus americanus,,
Anaxyrus boreas,California Toad,Amphibia,Animalia,Anaxyrus boreas,Chordata,Vertebrata,,Amphibia,,,Anura,,,Bufonidae,,,,,Anaxyrus,,,Anaxyrus boreas halophilus,,
Anaxyrus boreas halophilus,California Toad,Amphibia,Animalia,Anaxyrus boreas,Chordata,Vertebrata,,Amphibia,,,Anura,,,Bufonidae,,,,,Anaxyrus,,,Anaxyrus boreas halophilus,,
Anchusa officinalis,common alkanet,Plantae,Plantae,Anchusa officinalis,Tracheophyta,Angiospermae,,Magnoliopsida,,,Boraginales,,,Boraginaceae,Boraginoideae,,Boragineae,Boragininae,Anchusa,,,,,
Andrena,Mining Bees,Insecta,Animalia,,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Andrenidae,Andreninae,,Andrenini,,Andrena,,,,,
Andrena bicolor,Bicoloured Miner,Insecta,Animalia,Andrena bicolor,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Andrenidae,Andreninae,,Andrenini,,Andrena,,,,,
Andrenosoma hesperium,Golden-horned Chiselmouth,Insecta,Animalia,Andrenosoma hesperium,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,Asiloidea,Asilidae,Laphriinae,,Andrenosomatini,,Andrenosoma,,,,,
Andropadus importunus,Southern Sombre Greenbul,Aves,Animalia,Andropadus importunus,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Pycnonotidae,,,,,Andropadus,,,Andropadus importunus importunus,,
Andropadus importunus importunus,Southern Sombre Greenbul,Aves,Animalia,Andropadus importunus,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Pycnonotidae,,,,,Andropadus,,,Andropadus importunus importunus,,
Andryala integrifolia,Common Andryala,Plantae,Plantae,Andryala integrifolia,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Cichorioideae,,Cichorieae,Hieraciinae,Andryala,,,,,
Anemone berlandieri,Tenpetal Anemone,Plantae,Plantae,Anemone berlandieri,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ranunculales,,,Ranunculaceae,Ranunculoideae,,Anemoneae,,Anemone,,,,,
Anguilla anguilla,European Eel,Actinopterygii,Animalia,Anguilla anguilla,Chordata,Vertebrata,,Actinopterygii,,Elopomorpha,Anguilliformes,Anguilloidei,,Anguillidae,,,,,Anguilla,,,,,
Anguilla rostrata,American Eel,Actinopterygii,Animalia,Anguilla rostrata,Chordata,Vertebrata,,Actinopterygii,,Elopomorpha,Anguilliformes,Anguilloidei,,Anguillidae,,,,,Anguilla,,,,,
Anguis fragilis,Common Slowworm,Reptilia,Animalia,Anguis fragilis,Chordata,Vertebrata,,Reptilia,,,Squamata,Sauria,,Anguidae,Anguinae,,,,Anguis,,,,,
Anguis veronensis,Italian Slowworm,Reptilia,Animalia,Anguis veronensis,Chordata,Vertebrata,,Reptilia,,,Squamata,Sauria,,Anguidae,Anguinae,,,,Anguis,,,,,
Anhinga anhinga,Anhinga,Aves,Animalia,Anhinga anhinga,Chordata,Vertebrata,,Aves,,,Suliformes,,,Anhingidae,,,,,Anhinga,,,,,
Anhinga melanogaster,Oriental Darter,Aves,Animalia,Anhinga melanogaster,Chordata,Vertebrata,,Aves,,,Suliformes,,,Anhingidae,,,,,Anhinga,,,,,
Anhinga novaehollandiae,Australasian Darter,Aves,Animalia,Anhinga novaehollandiae,Chordata,Vertebrata,,Aves,,,Suliformes,,,Anhingidae,,,,,Anhinga,,,,,
Annona senegalensis,wild custard-apple,Plantae,Plantae,Annona senegalensis,Tracheophyta,Angiospermae,,Magnoliopsida,,,Magnoliales,,,Annonaceae,,,,,Annona,,,,,
Anolis carolinensis,Green Anole,Reptilia,Animalia,Anolis carolinensis,Chordata,Vertebrata,,Reptilia,,,Squamata,Sauria,,Anolidae,,,,,Anolis,,,,,
Anolis sagrei,Brown Anole,Reptilia,Animalia,Anolis sagrei,Chordata,Vertebrata,,Reptilia,,,Squamata,Sauria,,Anolidae,,,,,Anolis,,,,,
Anoplarchus purpurescens,High Cockscomb,Actinopterygii,Animalia,Anoplarchus purpurescens,Chordata,Vertebrata,,Actinopterygii,,Acanthomorpha,Perciformes,Zoarcoidei,,Stichaeidae,Xiphisterinae,,,,Anoplarchus,,,,,
Anoplolepis steingroeveri,Small pugnacious ant,Insecta,Animalia,Anoplolepis steingroeveri,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Formicoidea,Formicidae,Formicinae,,Plagiolepidini,,Anoplolepis,,,,,
Anser caerulescens,Snow Goose,Aves,Animalia,Anser caerulescens,Chordata,Vertebrata,,Aves,,,Anseriformes,,,Anatidae,,,,,Anser,,,,,
Anthene amarah,Black-striped Hairtail,Insecta,Animalia,Anthene amarah,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Papilionoidea,Lycaenidae,Polyommatinae,,Lycaenesthini,,Anthene,,,Anthene amarah amarah,,
Anthene amarah amarah,Black-striped Hairtail,Insecta,Animalia,Anthene amarah,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Papilionoidea,Lycaenidae,Polyommatinae,,Lycaenesthini,,Anthene,,,Anthene amarah amarah,,
Anthocharis cardamines,orange-tip,Insecta,Animalia,Anthocharis cardamines,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Papilionoidea,Pieridae,Pierinae,,Anthocharidini,,Anthocharis,,,,,
Anthopleura artemisia,Moonglow Anemone,Animalia,Animalia,Anthopleura artemisia,Cnidaria,,,Anthozoa,Hexacorallia,,Actiniaria,Enthemonae,Actinioidea,Actiniidae,,,,,Anthopleura,,,,,
Anthopleura elegantissima,Aggregating Anemone,Animalia,Animalia,Anthopleura elegantissima,Cnidaria,,,Anthozoa,Hexacorallia,,Actiniaria,Enthemonae,Actinioidea,Actiniidae,,,,,Anthopleura,,,,,
Anthopleura sola,Sunburst Anemone,Animalia,Animalia,Anthopleura sola,Cnidaria,,,Anthozoa,Hexacorallia,,Actiniaria,Enthemonae,Actinioidea,Actiniidae,,,,,Anthopleura,,,,,
Anthrenus verbasci,Varied Carpet Beetle,Insecta,Animalia,Anthrenus verbasci,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Bostrichoidea,Dermestidae,Megatominae,,Anthrenini,,Anthrenus,,,,,
Anthus cinnamomeus,African Pipit,Aves,Animalia,Anthus cinnamomeus,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Motacillidae,,,,,Anthus,,,,,
