chain,len
Agelaius phoeniceus -> Anax junius -> Erythemis simplicicollis -> Celithemis fasciata,4
Agelaius phoeniceus -> Anax junius -> Erythemis simplicicollis -> Pachydiplax longipennis,4
Agelaius phoeniceus -> Anax junius -> Erythemis simplicicollis -> Perithemis tenera,4
Aquarius remigis -> Vespula pensylvanica -> Apis mellifera -> Ageratina havanensis,4
Aquarius remigis -> Vespula pensylvanica -> Apis mellifera -> Anchusa officinalis,4
Aquarius remigis -> Vespula pensylvanica -> Apis mellifera -> Apiomerus californicus,4
Aquarius remigis -> Vespula pensylvanica -> Apis mellifera -> Asclepias fascicularis,4
Aquarius remigis -> Vespula pensylvanica -> Apis mellifera -> Asclepias tuberosa,4
Aquarius remigis -> Vespula pensylvanica -> Apis mellifera -> Baccharis pilularis,4
Aquarius remigis -> Vespula pensylvanica -> Apis mellifera -> Cakile maritima,4
Aquarius remigis -> Vespula pensylvanica -> Apis mellifera -> Cirsium arvense,4
Aquarius remigis -> Vespula pensylvanica -> Apis mellifera -> Cirsium horridulum,4
Aquarius remigis -> Vespula pensylvanica -> Apis mellifera -> Datura wrightii,4
Aquarius remigis -> Vespula pensylvanica -> Apis mellifera -> Eriogonum fasciculatum,4
Aquarius remigis -> Vespula pensylvanica -> Apis mellifera -> Ficus sur,4
Aquarius remigis -> Vespula pensylvanica -> Apis mellifera -> Hydrophyllum fendleri,4
Aquarius remigis -> Vespula pensylvanica -> Apis mellifera -> Jacobaea vulgaris,4
Aquarius remigis -> Vespula pensylvanica -> Apis mellifera -> Lonicera maackii,4
Aquarius remigis -> Vespula pensylvanica -> Apis mellifera -> Ochna pulchra,4
Aquarius remigis -> Vespula pensylvanica -> Apis mellifera -> Ozoroa obovata obovata,4
Aquarius remigis -> Vespula pensylvanica -> Apis mellifera -> Paspalum notatum,4
Aquarius remigis -> Vespula pensylvanica -> Apis mellifera -> Rubus odoratus,4
Aquarius remigis -> Vespula pensylvanica -> Apis mellifera -> Salvia mellifera,4
Aquarius remigis -> Vespula pensylvanica -> Apis mellifera -> Satureja montana,4
Aquarius remigis -> Vespula pensylvanica -> Apis mellifera -> Senecio deltoideus,4
Aquarius remigis -> Vespula pensylvanica -> Apis mellifera -> Taraxacum officinale,4
Aquarius remigis -> Vespula pensylvanica -> Apis mellifera -> Toxicodendron pubescens,4
Aquarius remigis -> Vespula pensylvanica -> Apis mellifera -> Trichostema lanceolatum,4
Aquarius remigis -> Vespula pensylvanica -> Apis mellifera -> Trifolium repens,4
Aquarius remigis -> Vespula pensylvanica -> Apis mellifera -> Turnera subulata,4
Aquarius remigis -> Vespula pensylvanica -> Apis mellifera -> Viguiera dentata,4
Ardea cinerea -> Anguilla anguilla -> Egretta garzetta -> Aphanius fasciatus,4
Ardea cinerea -> Anguilla anguilla -> Egretta garzetta -> Lampetra planeri,4
Ardea cinerea -> Anguilla anguilla -> Larus michahellis -> Columba livia,4
Ardea cinerea -> Anguilla anguilla -> Larus michahellis -> Streptopelia decaocto,4
Belenois creona severina -> Chromolaena odorata -> Mylothris agathina agathina -> Dais cotinifolia,4
Belenois creona severina -> Chromolaena odorata -> Mylothris agathina agathina -> Distephanus angulifolius,4
Belenois creona severina -> Chromolaena odorata -> Mylothris agathina agathina -> Globimetula mweroensis,4
Belenois creona severina -> Chromolaena odorata -> Mylothris agathina agathina -> Lippia javanica,4
Belenois creona severina -> Chromolaena odorata -> Telchinia serena -> Cynanchum viminale,4
Belenois creona severina -> Chromolaena odorata -> Telchinia serena -> Justicia flava,4
Belenois creona severina -> Chromolaena odorata -> Telchinia serena -> Mikania natalensis,4
Belenois creona severina -> Chromolaena odorata -> Telchinia serena -> Senecio polyanthemoides,4
Belenois creona severina -> Chromolaena odorata -> Telchinia serena -> Sida cordifolia cordifolia,4
Belenois creona severina -> Chromolaena odorata -> Telchinia serena -> Tridax procumbens,4
Belenois creona severina -> Chromolaena odorata -> Telchinia serena -> Waltheria indica,4
Boaedon capensis -> Passer domesticus -> Mantis religiosa -> Sympetrum fonscolombii,4
Buteo jamaicensis -> Turdus migratorius -> Mantis religiosa -> Sympetrum fonscolombii,4
Chromolaena odorata -> Mylothris agathina agathina -> Globimetula mweroensis -> Populus deltoides,4
Chromolaena odorata -> Mylothris agathina agathina -> Globimetula mweroensis -> Salix babylonica,4
Chromolaena odorata -> Mylothris agathina agathina -> Globimetula mweroensis -> Vangueria vestita,4
Corvus corax -> Crotalus oreganus oreganus -> Otospermophilus beecheyi -> Quercus lobata,4
Delta fenestrale -> Chromolaena odorata -> Belenois creona severina -> Cynanchum viminale,4
Delta fenestrale -> Chromolaena odorata -> Belenois creona severina -> Justicia flava,4
Delta fenestrale -> Chromolaena odorata -> Belenois creona severina -> Solanum seaforthianum,4
Delta fenestrale -> Chromolaena odorata -> Mylothris agathina agathina -> Dais cotinifolia,4
Delta fenestrale -> Chromolaena odorata -> Mylothris agathina agathina -> Distephanus angulifolius,4
Delta fenestrale -> Chromolaena odorata -> Mylothris agathina agathina -> Globimetula mweroensis,4
Delta fenestrale -> Chromolaena odorata -> Mylothris agathina agathina -> Lippia javanica,4
Delta fenestrale -> Chromolaena odorata -> Telchinia serena -> Mikania natalensis,4
Delta fenestrale -> Chromolaena odorata -> Telchinia serena -> Senecio polyanthemoides,4
Delta fenestrale -> Chromolaena odorata -> Telchinia serena -> Sida cordifolia cordifolia,4
Delta fenestrale -> Chromolaena odorata -> Telchinia serena -> Tridax procumbens,4
Delta fenestrale -> Chromolaena odorata -> Telchinia serena -> Waltheria indica,4
Egretta caerulea -> Anax junius -> Erythemis simplicicollis -> Celithemis fasciata,4
Egretta caerulea -> Anax junius -> Erythemis simplicicollis -> Pachydiplax longipennis,4
Egretta caerulea -> Anax junius -> Erythemis simplicicollis -> Perithemis tenera,4
Egretta garzetta -> Anguilla anguilla -> Larus michahellis -> Columba livia,4
Egretta garzetta -> Anguilla anguilla -> Larus michahellis -> Streptopelia decaocto,4
Heteropoda venatoria -> Hemidactylus turcicus -> Erythemis simplicicollis -> Celithemis fasciata,4
Heteropoda venatoria -> Hemidactylus turcicus -> Erythemis simplicicollis -> Pachydiplax longipennis,4
Heteropoda venatoria -> Hemidactylus turcicus -> Erythemis simplicicollis -> Perithemis tenera,4
Lanius ludovicianus -> Anolis sagrei -> Erythemis simplicicollis -> Celithemis fasciata,4
Lanius ludovicianus -> Anolis sagrei -> Erythemis simplicicollis -> Pachydiplax longipennis,4
Lanius ludovicianus -> Anolis sagrei -> Erythemis simplicicollis -> Perithemis tenera,4
Lanius ludovicianus -> Anolis sagrei -> Hemidactylus mabouia -> Amata simplex,4
Lanius ludovicianus -> Anolis sagrei -> Hemidactylus mabouia -> Gryllus bimaculatus,4
Larus argentatus -> Gallinula chloropus -> Mesotriton alpestris -> Epinotia tedella,4
Larus marinus -> Anguilla anguilla -> Egretta garzetta -> Aphanius fasciatus,4
Larus marinus -> Anguilla anguilla -> Egretta garzetta -> Lampetra planeri,4
Larus marinus -> Anguilla anguilla -> Larus michahellis -> Columba livia,4
Larus marinus -> Anguilla anguilla -> Larus michahellis -> Streptopelia decaocto,4
Larus michahellis -> Anguilla anguilla -> Egretta garzetta -> Aphanius fasciatus,4
Larus michahellis -> Anguilla anguilla -> Egretta garzetta -> Lampetra planeri,4
Lippia javanica -> Mylothris agathina agathina -> Chromolaena odorata -> Belenois creona severina,4
Lippia javanica -> Mylothris agathina agathina -> Chromolaena odorata -> Delta fenestrale,4
Lippia javanica -> Mylothris agathina agathina -> Chromolaena odorata -> Telchinia serena,4
Lippia javanica -> Mylothris agathina agathina -> Globimetula mweroensis -> Populus deltoides,4
Lippia javanica -> Mylothris agathina agathina -> Globimetula mweroensis -> Salix babylonica,4
Lippia javanica -> Mylothris agathina agathina -> Globimetula mweroensis -> Vangueria vestita,4
Myiarchus crinitus -> Promachus rufipes -> Vespula -> Nadata gibbosa,4
Mylothris agathina agathina -> Chromolaena odorata -> Belenois creona severina -> Cynanchum viminale,4
Mylothris agathina agathina -> Chromolaena odorata -> Belenois creona severina -> Justicia flava,4
Mylothris agathina agathina -> Chromolaena odorata -> Belenois creona severina -> Solanum seaforthianum,4
Mylothris agathina agathina -> Chromolaena odorata -> Telchinia serena -> Mikania natalensis,4
Mylothris agathina agathina -> Chromolaena odorata -> Telchinia serena -> Senecio polyanthemoides,4
Mylothris agathina agathina -> Chromolaena odorata -> Telchinia serena -> Sida cordifolia cordifolia,4
Mylothris agathina agathina -> Chromolaena odorata -> Telchinia serena -> Tridax procumbens,4
Mylothris agathina agathina -> Chromolaena odorata -> Telchinia serena -> Waltheria indica,4
Neoscona oaxacensis -> Vespula pensylvanica -> Apis mellifera -> Ageratina havanensis,4
Neoscona oaxacensis -> Vespula pensylvanica -> Apis mellifera -> Anchusa officinalis,4
Neoscona oaxacensis -> Vespula pensylvanica -> Apis mellifera -> Apiomerus californicus,4
Neoscona oaxacensis -> Vespula pensylvanica -> Apis mellifera -> Asclepias fascicularis,4
Neoscona oaxacensis -> Vespula pensylvanica -> Apis mellifera -> Asclepias tuberosa,4
Neoscona oaxacensis -> Vespula pensylvanica -> Apis mellifera -> Baccharis pilularis,4
Neoscona oaxacensis -> Vespula pensylvanica -> Apis mellifera -> Cakile maritima,4
Neoscona oaxacensis -> Vespula pensylvanica -> Apis mellifera -> Cirsium arvense,4
Neoscona oaxacensis -> Vespula pensylvanica -> Apis mellifera -> Cirsium horridulum,4
Neoscona oaxacensis -> Vespula pensylvanica -> Apis mellifera -> Datura wrightii,4
Neoscona oaxacensis -> Vespula pensylvanica -> Apis mellifera -> Eriogonum fasciculatum,4
Neoscona oaxacensis -> Vespula pensylvanica -> Apis mellifera -> Ficus sur,4
Neoscona oaxacensis -> Vespula pensylvanica -> Apis mellifera -> Hydrophyllum fendleri,4
Neoscona oaxacensis -> Vespula pensylvanica -> Apis mellifera -> Jacobaea vulgaris,4
Neoscona oaxacensis -> Vespula pensylvanica -> Apis mellifera -> Lonicera maackii,4
Neoscona oaxacensis -> Vespula pensylvanica -> Apis mellifera -> Ochna pulchra,4
Neoscona oaxacensis -> Vespula pensylvanica -> Apis mellifera -> Ozoroa obovata obovata,4
Neoscona oaxacensis -> Vespula pensylvanica -> Apis mellifera -> Paspalum notatum,4
Neoscona oaxacensis -> Vespula pensylvanica -> Apis mellifera -> Rubus odoratus,4
Neoscona oaxacensis -> Vespula pensylvanica -> Apis mellifera -> Salvia mellifera,4
Neoscona oaxacensis -> Vespula pensylvanica -> Apis mellifera -> Satureja montana,4
Neoscona oaxacensis -> Vespula pensylvanica -> Apis mellifera -> Senecio deltoideus,4
Neoscona oaxacensis -> Vespula pensylvanica -> Apis mellifera -> Taraxacum officinale,4
Neoscona oaxacensis -> Vespula pensylvanica -> Apis mellifera -> Toxicodendron pubescens,4
Neoscona oaxacensis -> Vespula pensylvanica -> Apis mellifera -> Trichostema lanceolatum,4
Neoscona oaxacensis -> Vespula pensylvanica -> Apis mellifera -> Trifolium repens,4
Neoscona oaxacensis -> Vespula pensylvanica -> Apis mellifera -> Turnera subulata,4
Neoscona oaxacensis -> Vespula pensylvanica -> Apis mellifera -> Viguiera dentata,4
Pantherophis spiloides -> Strix varia -> Tamiasciurus hudsonicus -> Acer saccharinum,4
Pantherophis spiloides -> Strix varia -> Tamiasciurus hudsonicus -> Juglans nigra,4
Pantherophis spiloides -> Strix varia -> Tamiasciurus hudsonicus -> Turdus migratorius,4
Phalacrocorax carbo -> Anguilla anguilla -> Egretta garzetta -> Aphanius fasciatus,4
Phalacrocorax carbo -> Anguilla anguilla -> Egretta garzetta -> Lampetra planeri,4
Phalacrocorax carbo -> Anguilla anguilla -> Larus michahellis -> Columba livia,4
Phalacrocorax carbo -> Anguilla anguilla -> Larus michahellis -> Streptopelia decaocto,4
Pica hudsonia -> Tamiasciurus hudsonicus -> Turdus migratorius -> Ilex vomitoria,4
Pica hudsonia -> Tamiasciurus hudsonicus -> Turdus migratorius -> Mantis religiosa,4
Pica hudsonia -> Tamiasciurus hudsonicus -> Turdus migratorius -> Prunus virginiana,4
Pica hudsonia -> Tamiasciurus hudsonicus -> Turdus migratorius -> Rhamnus cathartica,4
Piranga olivacea -> Vespa crabro -> Promachus hinei -> Erythemis simplicicollis,4
Piranga olivacea -> Vespa crabro -> Promachus hinei -> Phyciodes tharos,4
Quiscalus quiscula -> Passer domesticus -> Mantis religiosa -> Sympetrum fonscolombii,4
Spinus tristis tristis -> Tamiasciurus hudsonicus -> Turdus migratorius -> Ilex vomitoria,4
Spinus tristis tristis -> Tamiasciurus hudsonicus -> Turdus migratorius -> Mantis religiosa,4
Spinus tristis tristis -> Tamiasciurus hudsonicus -> Turdus migratorius -> Prunus virginiana,4
Spinus tristis tristis -> Tamiasciurus hudsonicus -> Turdus migratorius -> Rhamnus cathartica,4
Strix varia -> Tamiasciurus hudsonicus -> Turdus migratorius -> Ilex vomitoria,4
Strix varia -> Tamiasciurus hudsonicus -> Turdus migratorius -> Mantis religiosa,4
Strix varia -> Tamiasciurus hudsonicus -> Turdus migratorius -> Prunus virginiana,4
Strix varia -> Tamiasciurus hudsonicus -> Turdus migratorius -> Rhamnus cathartica,4
Tamiasciurus hudsonicus -> Turdus migratorius -> Mantis religiosa -> Sympetrum fonscolombii,4
Telchinia serena -> Chromolaena odorata -> Belenois creona severina -> Cynanchum viminale,4
Telchinia serena -> Chromolaena odorata -> Belenois creona severina -> Justicia flava,4
Telchinia serena -> Chromolaena odorata -> Belenois creona severina -> Solanum seaforthianum,4
Telchinia serena -> Chromolaena odorata -> Mylothris agathina agathina -> Dais cotinifolia,4
Telchinia serena -> Chromolaena odorata -> Mylothris agathina agathina -> Distephanus angulifolius,4
Telchinia serena -> Chromolaena odorata -> Mylothris agathina agathina -> Globimetula mweroensis,4
Telchinia serena -> Chromolaena odorata -> Mylothris agathina agathina -> Lippia javanica,4
Vespa crabro -> Promachus hinei -> Erythemis simplicicollis -> Celithemis fasciata,4
Vespa crabro -> Promachus hinei -> Erythemis simplicicollis -> Pachydiplax longipennis,4
Vespa crabro -> Promachus hinei -> Erythemis simplicicollis -> Perithemis tenera,4
Zodarion rubidum -> Tetramorium immigrans -> Vespula maculifrons -> Didelphis virginiana,4
Zodarion rubidum -> Tetramorium immigrans -> Vespula maculifrons -> Neotibicen lyricen engelhardti,4
Necrophila americana -> Sciurus carolinensis -> Callicarpa americana,3
Necrophila americana -> Sciurus carolinensis -> Coprinopsis lagopus,3
Necrophila americana -> Sciurus carolinensis -> Odocoileus virginianus,3
Necrophila americana -> Sciurus carolinensis -> Taraxacum,3
Necrosyrtes monachus -> Panthera leo melanochaita -> Connochaetes taurinus mearnsi,3
Necrosyrtes monachus -> Panthera leo melanochaita -> Hippotragus niger niger,3
Necrosyrtes monachus -> Panthera leo melanochaita -> Syncerus caffer caffer,3
Neogale vison -> Nannopterum auritum -> Ameiurus nebulosus,3
Neogale vison -> Nannopterum auritum -> Anguilla rostrata,3
Neogale vison -> Nannopterum auritum -> Atherinopsis californiensis,3
Neogale vison -> Nannopterum auritum -> Ictalurus punctatus,3
Neogale vison -> Nannopterum auritum -> Lepisosteus osseus,3
Neogale vison -> Nannopterum auritum -> Triakis semifasciata,3
Neoscona oaxacensis -> Vespula pensylvanica -> Apis mellifera,3
Neoscona oaxacensis -> Vespula pensylvanica -> Rattus rattus,3
Nicrophorus marginatus -> Otospermophilus beecheyi -> Quercus lobata,3
Notechis scutatus -> Salmo trutta -> Cottus gobio,3
Ophiocordyceps humbertii -> Polistes dominula -> Cirsium arvense,3
Orthetrum stemmale -> Apis mellifera scutellata -> Ochna pulchra,3
Orthetrum stemmale -> Apis mellifera scutellata -> Ozoroa obovata obovata,3
Orthetrum stemmale -> Apis mellifera scutellata -> Senecio deltoideus,3
Pantherophis spiloides -> Strix varia -> Tamiasciurus hudsonicus,3
Pantherophis spiloides -> Strix varia -> Thamnophis sirtalis concinnus,3
Passer domesticus -> Mantis religiosa -> Sympetrum fonscolombii,3
Peucetia viridans -> Apis mellifera -> Ageratina havanensis,3
Peucetia viridans -> Apis mellifera -> Anchusa officinalis,3
Peucetia viridans -> Apis mellifera -> Apiomerus californicus,3
Peucetia viridans -> Apis mellifera -> Asclepias fascicularis,3
Peucetia viridans -> Apis mellifera -> Asclepias tuberosa,3
Peucetia viridans -> Apis mellifera -> Baccharis pilularis,3
Peucetia viridans -> Apis mellifera -> Cakile maritima,3
Peucetia viridans -> Apis mellifera -> Cirsium arvense,3
Peucetia viridans -> Apis mellifera -> Cirsium horridulum,3
Peucetia viridans -> Apis mellifera -> Datura wrightii,3
Peucetia viridans -> Apis mellifera -> Eriogonum fasciculatum,3
Peucetia viridans -> Apis mellifera -> Ficus sur,3
Peucetia viridans -> Apis mellifera -> Hydrophyllum fendleri,3
Peucetia viridans -> Apis mellifera -> Jacobaea vulgaris,3
Peucetia viridans -> Apis mellifera -> Lonicera maackii,3
Peucetia viridans -> Apis mellifera -> Ochna pulchra,3
Peucetia viridans -> Apis mellifera -> Ozoroa obovata obovata,3
Peucetia viridans -> Apis mellifera -> Paspalum notatum,3
Peucetia viridans -> Apis mellifera -> Rubus odoratus,3
Peucetia viridans -> Apis mellifera -> Salvia mellifera,3
Peucetia viridans -> Apis mellifera -> Satureja montana,3
Peucetia viridans -> Apis mellifera -> Senecio deltoideus,3
Peucetia viridans -> Apis mellifera -> Taraxacum officinale,3
Peucetia viridans -> Apis mellifera -> Toxicodendron pubescens,3
Peucetia viridans -> Apis mellifera -> Trichostema lanceolatum,3
Peucetia viridans -> Apis mellifera -> Trifolium repens,3
Peucetia viridans -> Apis mellifera -> Turnera subulata,3
Peucetia viridans -> Apis mellifera -> Viguiera dentata,3
Peucetia viridans -> Bombus impatiens -> Berberis thunbergii,3
Peucetia viridans -> Bombus impatiens -> Eutrochium maculatum,3
Peucetia viridans -> Bombus impatiens -> Melilotus officinalis,3
Peucetia viridans -> Dione vanillae -> Lantana strigocamara,3
Peucetia viridans -> Dione vanillae -> Passiflora incarnata,3
Peucetia viridans -> Dione vanillae -> Passiflora lutea,3
Peucetia viridans -> Dione vanillae -> Passiflora tenuiloba,3
Peucetia viridans -> Vespula squamosa -> Schizura ipomaeae,3
Phalacrocorax carbo -> Anguilla anguilla -> Egretta garzetta,3
Phalacrocorax carbo -> Anguilla anguilla -> Larus michahellis,3
Pheidole megacephala -> Hemidactylus mabouia -> Amata simplex,3
Pheidole megacephala -> Hemidactylus mabouia -> Gryllus bimaculatus,3
Phidippus clarus -> Toxomerus marginatus -> Anemone berlandieri,3
Phidippus clarus -> Toxomerus marginatus -> Capsella bursa-pastoris,3
Phidippus clarus -> Toxomerus marginatus -> Cichorium intybus,3
Phidippus clarus -> Toxomerus marginatus -> Commelina erecta,3
Phidippus clarus -> Toxomerus marginatus -> Convolvulus arvensis,3
Phidippus clarus -> Toxomerus marginatus -> Plantago lanceolata,3
Phidippus clarus -> Toxomerus marginatus -> Rudbeckia hirta,3
Phidippus clarus -> Toxomerus marginatus -> Taraxacum officinale,3
Phidippus clarus -> Toxomerus marginatus -> Verbesina encelioides,3
Pica hudsonia -> Tamiasciurus hudsonicus -> Acer saccharinum,3
Pica hudsonia -> Tamiasciurus hudsonicus -> Juglans nigra,3
Pica hudsonia -> Tamiasciurus hudsonicus -> Turdus migratorius,3
Piranga olivacea -> Vespa crabro -> Promachus hinei,3
Piranga olivacea -> Vespula maculifrons -> Didelphis virginiana,3
Piranga olivacea -> Vespula maculifrons -> Neotibicen lyricen engelhardti,3
Polistes major -> Dione vanillae -> Lantana strigocamara,3
Polistes major -> Dione vanillae -> Passiflora incarnata,3
Polistes major -> Dione vanillae -> Passiflora lutea,3
Polistes major -> Dione vanillae -> Passiflora tenuiloba,3
Progne subis -> Danaus plexippus -> Asclepias curassavica,3
Progne subis -> Danaus plexippus -> Asclepias incarnata,3
Progne subis -> Danaus plexippus -> Asclepias syriaca,3
Progne subis -> Danaus plexippus -> Gomphocarpus fruticosus,3
Progne subis -> Danaus plexippus -> Nothoscordum bivalve,3
Progne subis -> Danaus plexippus -> Verbesina virginica,3
Promachus hinei -> Erythemis simplicicollis -> Celithemis fasciata,3
Promachus hinei -> Erythemis simplicicollis -> Pachydiplax longipennis,3
Promachus hinei -> Erythemis simplicicollis -> Perithemis tenera,3
Promachus rufipes -> Vespula -> Nadata gibbosa,3
Pycnonotus barbatus -> Zonocerus elegans elegans -> Solanum campylacanthum,3
Pycnonotus barbatus layardi -> Zonocerus elegans elegans -> Solanum campylacanthum,3
Quiscalus quiscula -> Passer domesticus -> Magicicada cassinii,3
Quiscalus quiscula -> Passer domesticus -> Mantis religiosa,3
Rhipidura leucophrys -> Eristalis tenax -> Ericameria nauseosa,3
Rhipidura leucophrys -> Eristalis tenax -> Rhodiola rosea,3
Rhipidura leucophrys -> Eristalis tenax -> Senecio atratus,3
Sitta carolinensis -> Vanessa atalanta -> Achillea millefolium,3
Sitta carolinensis -> Vanessa atalanta -> Prunus virginiana,3
Spinus tristis tristis -> Tamiasciurus hudsonicus -> Acer saccharinum,3
Spinus tristis tristis -> Tamiasciurus hudsonicus -> Juglans nigra,3
Spinus tristis tristis -> Tamiasciurus hudsonicus -> Turdus migratorius,3
Strix varia -> Tamiasciurus hudsonicus -> Acer saccharinum,3
Strix varia -> Tamiasciurus hudsonicus -> Juglans nigra,3
Strix varia -> Tamiasciurus hudsonicus -> Turdus migratorius,3
Syzygium cordatum -> Parapoderus submarginatus -> Syzygium cordatum cordatum,3
Tamiasciurus hudsonicus -> Turdus migratorius -> Ilex vomitoria,3
Tamiasciurus hudsonicus -> Turdus migratorius -> Mantis religiosa,3
Tamiasciurus hudsonicus -> Turdus migratorius -> Prunus virginiana,3
Tamiasciurus hudsonicus -> Turdus migratorius -> Rhamnus cathartica,3
Telchinia serena -> Chromolaena odorata -> Belenois creona severina,3
Telchinia serena -> Chromolaena odorata -> Delta fenestrale,3
Telchinia serena -> Chromolaena odorata -> Mylothris agathina agathina,3
Tenodera angustipennis -> Bombus impatiens -> Berberis thunbergii,3
Tenodera angustipennis -> Bombus impatiens -> Eutrochium maculatum,3
Tenodera angustipennis -> Bombus impatiens -> Melilotus officinalis,3
Tetramorium immigrans -> Vespula maculifrons -> Didelphis virginiana,3
Tetramorium immigrans -> Vespula maculifrons -> Neotibicen lyricen engelhardti,3
Thomisus kalaharinus -> Apis mellifera scutellata -> Ochna pulchra,3
Thomisus kalaharinus -> Apis mellifera scutellata -> Ozoroa obovata obovata,3
Thomisus kalaharinus -> Apis mellifera scutellata -> Senecio deltoideus,3
Thomisus stenningi -> Apis mellifera scutellata -> Ochna pulchra,3
Thomisus stenningi -> Apis mellifera scutellata -> Ozoroa obovata obovata,3
Thomisus stenningi -> Apis mellifera scutellata -> Senecio deltoideus,3
Trichonephila clavata -> Apis mellifera -> Ageratina havanensis,3
Trichonephila clavata -> Apis mellifera -> Anchusa officinalis,3
Trichonephila clavata -> Apis mellifera -> Apiomerus californicus,3
Trichonephila clavata -> Apis mellifera -> Asclepias fascicularis,3
Trichonephila clavata -> Apis mellifera -> Asclepias tuberosa,3
Trichonephila clavata -> Apis mellifera -> Baccharis pilularis,3
